Category,Roll0_count,Roll1_count,Roll2_count,Roll0_%,Roll1_%,Roll2_%
Upper1,898088.0,709194.0,611481.0,59.87253333333334,47.2796,40.7654
Upper2,896457.0,722318.0,630895.0,59.7638,48.15453333333333,42.059666666666665
Upper3,897687.0,735028.0,652123.0,59.845800000000004,49.001866666666665,43.47486666666667
Upper4,896712.0,748388.0,675956.0,59.7808,49.89253333333333,45.06373333333333
Upper5,897536.0,772788.0,706646.0,59.83573333333333,51.5192,47.10973333333333
Upper6,897071.0,831721.0,764555.0,59.80473333333334,55.44806666666666,50.97033333333333
OfAKind2,1360966.0,1487277.0,1498813.0,90.73106666666668,99.1518,99.92086666666667
OfAKind3,320012.0,812420.0,1115255.0,21.334133333333334,54.16133333333333,74.35033333333332
OfAKind4,30350.0,199098.0,436467.0,2.0233333333333334,13.2732,29.097800000000003
OfAKind5,1118.0,19067.0,69340.0,0.07453333333333333,1.2711333333333332,4.6226666666666665
TwoPairs,404003.0,462701.0,338469.0,26.933533333333333,30.846733333333333,22.564600000000002
SmallStraight,23229.0,452.0,10.0,1.5486,0.030133333333333335,0.0006666666666666666
LargeStraight,23035.0,2582.0,244.0,1.5356666666666665,0.17213333333333333,0.01626666666666667
FullHouse,57789.0,141892.0,148399.0,3.8526,9.459466666666666,9.893266666666667
Chance,1500000.0,1500000.0,1500000.0,100.0,100.0,100.0
AverageScore,163.87324,,,,,
Std,38.65452692638211,,,,,
Bonus%,13.045000000000002,,,,,
